Plaintext,Ciphertext,Algorithm
eEAH78GYbkMrS9isc9KdYSmV0zFRI3GekCWGyJXyzMrnlakKnLSa47YGDGTUHqt2osTrJhkocIpscOj84r7ir3YdPp0nIhaPwOMxuf8T4JqUiA5NsudO0a0woU9rlqbIQ3X8XLgUV,hhdk78jbenpuv9lvf9ngbvpy0ciul3jhnfzjbmabcpuqodnnqovd47bjgjwxktw2rvwumknrflsvfrm84u7lu3bgss0qlkdszrpaxi8w4mtxld5qvxgr0d0zrx9uotelt3a8aojxy,Compressocrat
CoUUBxj5EfFlDl03lmKF8UlPsbtk4l0zRMmejeBpD6PzgUHiUWZaMgyybh0aW1P7cipXfrj8OMaY9a9YgIV0v2TfmiEWK5C0ktvEjpdISrOIhb0cgIsgG41,FsBMpgCh fPeaiY5I BKRHWamdG5UeW7aWr xFMi1YiI4lk6yr0tc o3lzh82EIEljZc9KO j8mUP9ES1lbpgXI0b DtDyfVk0 UmzUaMfpgC04PbjvvgUl0g0OTjs,Complete Columnar Transposition
khog99sweNvhx776f5cMjlBHvMlRBj5QRtN0sw4gr6FQx7qZ6TZeYa37jXPjujyCUYYE0ehKB9UrjfuilXywuFBESAMYOviZ8P6pyAJFIIFII0oyfLTAHKXSZVoSfpxan2bxJE9i6hd6w,vHsTyrSATawgfjF70XiIZEelNZu9Bpfpdk7lgYYuYIKb9cQxXhw80oiNB06jUEyLx6h7RraYiOIXxsMR7PKuPoS6hvwZCjAJAn wjtqjBF6yfh955QjeyZIV9o6B63ElvFSJxM4eUfMFH2 ,Complete Columnar Transposition
yUbS9BxdSgQLeE1M3kbjxjfpeaK10AjWlEViVHS8tEAUvCYPSashjd4PcMWlGkaz1BR84DJT1q6KGtToB7krfHy8iVnzNdozl0VJM1e0SDEuPPz0ykdZxPB,B31SaGTkdSZdbAthaqfzEPS1aVPWDBzekyLfEvPRtiJzxk08sk1roDxQjlU4BG8VP bEeiYM4on1ySjjEjz6HluBgxWAd1Ky0P UepVCc8TVM09MKHSlJ7N0d,Complete Columnar Transposition
genMaW6tmJmO7cprfKKcKYEcduf8tawWs9zGmuWzUwiSRgvA5VGgGZXjbLYyEL32cskjRDf4Of8To4nZRPjXTk9GHUMPH7XvCYivsxN28Bc5TXRypnNMe9jKOFgZajX3tJ3ZY5fFgDuk7ske,jhqpdz6wpmpr7fsuinnfnbhfgxi8wdzzv9cjpxzcxzlvujyd5yjjjcameobbho32fvnmugi4ri8wr4qcusmawn9jkxpsk7ayfblyvaq28ef5waubsqqph9mnrijcdma3wm3cb5iijgxn7vnh,Compressocrat
8hKFcx2szA2N6RiCxG2N8uxfRAGCq44RcNPdVYpS0Jaj2gsykKz2eoy3DQfwDDPI50DgflUg697zXBmzveuvMFnSVEhrDcIj8EjOnuKcMXyd7ZxYBEndn3,8knifa2vcd2q6ulfaj2q8xaiudjft44ufqsgybsv0mdm2jvbnnc2hrb3gtizggsl50gjioxj697caepcyhxypiqvyhkugflm8hmrqxnfpabg7cabehqgq3,Compressocrat
ft3TC3AHnQ5ql1df55Bv9Wtkmw8AEEISYk9SBw6SKy0aJY5MmeUQLNjuQ08UV0VUuaj5D7jF3uhYRAqHUaC812iOCOLgcnVmASIXkMynwn8mRK9ax0xbt5tG03hSFPDAAww1IBH,iw3wf3dkqt5to1gi55ey9zwnpz8dhhlvbn9vez6vnb0dmb5pphxtoqmxt08xy0yxxdm5g7mi3xkbudtkxdf812lrfrojfqypdvlanpbqzq8pun9da0aew5wj03kvisgddzz1lek,Compressocrat
sSN8752gfZ1gfPbN7AgFVWN7IgOCGLZcQs2AnoXDJyhm2E8hw9Y6DA60PTYVza8xYoGsr4Qqt15Y6ARpa56AcabjYx10H0VMuvk9KBpJzmNPz1dZ7KBi8OyUlz5uHkBogTZiGhOKYz1WO6q1Jk8unf,vvq8752jic1jiseq7djiyzq7ljrfjocftv2dqragmbkp2h8kz9b6gd60swbycd8abrjvu4ttw15b6dusd56dfdemba10k0ypxyn9nesmcpqsc1gc7nel8rbxoc5xknerjwcljkrnbc1zr6t1mn8xqi,Compressocrat
VUiDOOXwlpP5otmI1pUXZYyXqQdrf7jObOL3ghD7Mhgjsq5lfeF2x61nzgFYbAeF9OenRAy4uO6CZklta5lQKOM2chvwENMIakHVq7hmMbIbHGW,pX77eYAthVG OmqLs196KMM lUfDfFRlcHH X1dg5zeZMaI ioybgxeulEh VPZjMFbyavqWwprhlgnk2kb U5YOh2A45w7 OIQ3qnOCOIb DtXOj6FOQNm ,Complete Columnar Transposition
rEm9fwTJPsDVZFBG8z7mqlmR24Tr9zgLYXLtkYn9UFB4CBMVr0uNgMyBmKwx5O0eCk4c9GqLAsM04P89HwzbhlZuBYlwpenQxxjXuhauSaTvnDKYu5oJeysMnHngJrT,uhp9izwmsvgyciej8c7ptopu24wu9cjobaownbq9xie4fepyu0xqjpbepnza5r0hfn4f9jtodvp04s89kzcekocxebozshqtaamaxkdxvdwyqgnbx5rmhbvpqkqjmuw,Compressocrat
rAhhCkMuLypKbsbPY2Ka6Dsi19zc5I6HcvPbeEg1ZAUtruWwzfJXuFNdztSDF2P96h1x8Ngbod0aigu3SUBokfmU5Zx05Ia7S3dq4Ychd8teqvSN,rb5Uzgkd scAdNo3N kavw2aZh h2HuDdUY M6PzPixd p1gu1Saq LseJ6u5t APIttbfq uDbf9g08 yiEXh3Ie bzZN8BSS hY6rSom4 K91FxU7v CKcWF05c ,Complete Columnar Transposition
HpKEQFruXUEofqXsTfwJ13pQPV2nSeeFdnaQnD0ymFgvn0LWHG2uW8tTDPj2Gg6io6xyC3NGmXzmerBkRt83KPgjD4gVhpb5DlrbEQHCwqh7JfwBnjzGBGvdCrxgdPyU7BmsmzlMrHMFHBg,KEw2ag2jxz8grhzxmMFq3eD08g3rPpQfGPzBusQFyWTiGkj5CBdUM Qf1SnnWGCeKhEJBdmHrXpe0Lt6NBgbHwvylgpUfVnFGP6Xt4lqjrBHHXTPdmHDomRDDwnC7rEoJnQvu2ym3Vb7GgsF,Complete Columnar Transposition
Igro4NSTzzzgoU04SrFnkYnwOsTMsUaglG6SNEVt26SpkuReklv5Dj9aQEBvblq4ekRW2aMwELaF3pEhc0bKRs1oHGkWjXggtZVvCFVwIqQFqxDa0w,SFaS9REkV zYGuEa0Xq o4Mt54FovaIoONkbERtq4Ss2De3HC0zn6RBMbgQ r0TVvqa1VDgUsEllLsZxTngpaWhWw zklkQ2cjI NrU6jkpGFwgwSevwKgF ,Complete Columnar Transposition
wFbpKVSBxnVfm69yOg9r4ORI56C94Hlq6Rw4vzLA8rtmcLHSv1NhBYDK9YYwshaF7RjDRjH9sNJQktFseZsaDcns0LhdFtaBwQ1adqiw4sY2GQ9XJj9fTrj,ziesnyveaqyip69brj9u4rul56f94kot6uz4ycod8uwpfokvy1qkebgn9bbzvkdi7umgumk9vqmtnwivhcvdgfqv0okgiwdezt1dgtlz4vb2jt9amm9iwum,Compressocrat
95g5q6tMtlKBR4uZLiRXmqiAJmttftK7ODIlyY41BgiHCSuG7RTwDwBDA9ADb6Jb9XAfWiN6tYpLGxiNI5K4sdW2zizQaDZW3HD1dfdr1PgvMg0sKESv3dhVLRGVTdSnHjJV9Fi,MRtBwJYsWgdH lm7iw9LWHMVJ tif1T6t4ZP3n 5RAISAfiidsGF5umyGAiIQdET 9BiDCDAxz10R96Lt4Rb6KD1vS tXKgDbpd3vhj qZtY7DN5arSd g4Jlu9WNzfKViKqOHBXG2DgLV ,Complete Columnar Transposition
M4hHgpngEb1GCzd7htzEl0p12Iq0NRC2QNhBjOblj0VQpkGVSImEEssQg9LFxQrzySZgDA0BjbsDhKyaLtcPP5QNCc66w9iD4UDrakwG23Gnw5THyGelPjw,p4kkjsqjhe1jfcg7kwcho0s12lt0quf2tqkemreom0ytsnjyvlphhvvtj9oiatucbvcjgd0emevgknbdowfss5tqff66z9lg4xgudnzj23jqz5wkbjhosmz,Compressocrat
SuL9LwLN1zecb2UkogQgF7REuWoXZ6UYpg54lU5yWA7edNqhc2VeCWxMO1b7lugSCyiOKJmmqFCRsomVkB0HZYmfLbO9QgncZi5axXAKI3evlRU96UPHFm,vxo9ozoq1chfe2xnrjtji7uhxzrac6xbsj54ox5bzd7hgqtkf2yhfzapr1e7oxjvfblrnmpptifuvrpyne0kcbpioer9tjqfcl5daadnl3hyoux96xskip,Compressocrat
y3eKfiYHtghFodMIvbo08s71qyTwe33k9seIKp2H7NGtzNdIS5hLE76qPbcvAqmv4WdinJ0Uv7WQ64dpFeZ8K5NS1WZcwe8AMVN7f4JE8irUcgcFGoPwBEtY24ob7dbXYZmIM3yRRVbJEdyXySiBSB,yh837hA0FZfc2mE YvTKdPd6NMrBbRi Kd1st7v78eEob3X toe2Scnd1NctYbS iIyINqWQ5AiwdRS eo79GEmvZwJGoMy fMqez64WK88P7yy g03H5vJpW7gYZJB HbwpIbi4SVUEXVB 3FskNLqUec4F4Id ,Complete Columnar Transposition
ofLaoAVW4ZYIKcZa3Up0dediClscuwMP4psiMzEQhQeeq8InFTV0w562oCTt8xXJs3PpH5ruSIGgdw5AT8NFrfn6i1HotVJnhxU0YjcpSCPWD8hbF1crrLyt09fdr,riodrdyz4cblnfcd3xs0ghglfovfxzps4svlpchtkthht8lqiwy0z562rfww8aamv3ssk5uxvljjgz5dw8qiuiq6l1krwymqkax0bmfsvfszg8kei1fuuobw09igu,Compressocrat
IWw7b6MW5v716qZWLnWbvU1NB3BYU7VWdZgJy8U7Rs28IDBKUKXHqk9yDV7pi6arZR8rfpXIsvKzcNrxrQqYPZXMahtKQu1q2lCDbCaDc9wEO2Jn,lzz7e6pz5y716tczoqzeyx1qe3ebx7yzgcjmb8x7uv28lgenxnaktn9bgy7sl6ducu8uisalvyncfquauttbscapdkwntx1t2ofgefdgf9zhr2mq,Compressocrat
oOlj3NPdohPclRG3CLucJTod8TqqbR222wITcMpwgeGChGepnuKx10RAePB4sjbuMYxvA5PxE8sNbkxcs7j6LbgMnZuGTXVGYLTw8ny1LcQUjyWPf9e97o,jL2G48Mn93u2essny7hdMxYcXU NcwpjNZ1olqgRAjYW PJInbbuL lC2hBEg8eP8p1xsVj dTTuukGc oGbGePLTfRqeA56LP O3RCPxbw9cTw0v7Gy oocKMxTQ ,Complete Columnar Transposition
oDuVhSpCU94AxfwJGe6xPEMoCYAoK00i7IpX6ARLQiMqYsvuhfAAGjKFO4Xm5l4DakhAqWJT7EVgi3c1BbSkeiG3H6y5BwizSJpTshv505vLMNgUceV6w8C6AOCV1BsWESiUl,rgxykvsfx94daizmjh6ashprfbdrn00l7lsa6duotlptbvyxkiddjmnir4ap5o4gdnkdtzmw7hyjl3f1eevnhlj3k6b5ezlcvmswvky505yopqjxfhy6z8f6drfy1evzhvlxo,Compressocrat
GULr8XgotFvdKH5HLG27BsuyuWl9jc08V4UnBHrK4NugwskhsrFCo4ks86qMWg7oQrjgnJ1GWkbM5c95IIZmaF10bxns88KBUCHi1Ds6hTT62hC4BFqf3irUQ,jxou8ajrwiygnk5koj27evxbxzo9mf08y4xqekun4qxjzvnkvuifr4nv86tpzj7rtumjqm1jznep5f95llcpdi10eaqv88nexfkl1gv6kww62kf4eiti3luxt,Compressocrat
OVGRXeTSu57cBg7TYHum1JQ14Oc8OOapiLy38oRmqEjF0lUFsimO4f8H2UVnaBeFJNnTlcASqNyOLpOwEHQ9l4t1o4sQFFYOzMwIEsgoh945WWsACupQBhlD9uQhwSzTiX4E1Z3FMAR,ryjuahwvx57fej7wbkxp1mt14rf8rrdslob38rupthmi0oxivlpr4i8k2xyqdehimqqwofdvtqbrosrzhkt9o4w1r4vtiibrcpzlhvjrk945zzvdfxstekog9xtkzvcwla4h1c3ipdu,Compressocrat
ZCBzq6drFUovO0ctCAoK4kInXOh89NNviMIb8UbZyfXTv6wXXJePdHnxImk1Iz3TosZk6xvAnJUp8ac2bW8HgGzYFckstboOXSpcrVh0YyPzi0V4r3feeGUTWUAbaV1IM6jgVLY,cfect6guixryr0fwfdrn4nlqark89qqylple8xecbiawy6zaamhsgkqalpn1lc3wrvcn6aydqmxs8df2ez8kjjcbifnvwerravsfuyk0bbscl0y4u3ihhjxwzxdedy1lp6mjyob,Compressocrat
sBfo9AJrEs6SIGpybFUz8xWITgCoKbzXoCxEKgPtvjZOfgJkn38FLpfjzN1EHU1KWodXFqAtVv1jcuSKMA3arSnWJYFIFu9PpuDTEGJ2VUf6gBSeyiWakHVhkmC3hc4BFkOZHF,veir9dmuhv6vljsbeixc8azlwjfrnecarfahnjswymcrijmnq38iosimcq1hkx1nzrgaitdwyy1mfxvnpd3duvqzmbilix9ssxgwhjm2yxi6jevhblzdnkyknpf3kf4einrcki,Compressocrat
4xKPkjsHRnZN8TxHMqEDn7v7VU27ikHT1EauAljEeatSmmSgIDvgdNDMkewOJ4owOa7mrs063BLUtxNXz7qJIPQmeLjgUnrlqKgiZHLPXyvKX2LMr9ZV3NQ6EnkaYonf7ZNjjkE3aue5diGZCBQEu,48VAIJ3IqXEjCkMiedOteZrYauZvaSw0qrvQNG Kx2jvoLQgLkEQjqkaNaxLH9ou HDTSMmXgPVf5 n7Emes7nyNZi sEHtD7NjLZne N7ugO6JlK6jZ PH7EgwUmiMa3ExTUlD4BPK2nkBRn1mkrzUX37d ,Complete Columnar Transposition
1n9k8O1rTj1BJCFSYqRhJ5BPwlb3x2DXQwUBnNJ468myxl7VamCxHmaLtvg6x6qG6aMrcPrPEzcSTqrOdK0b3T7EMODFlEV3PWIZgcxbN5TjTVl32ifA12hdCOTdug2Ir2mPNVbv1R25u5Tk5LU8,JlJx6qDb12T kY2mLcKVjCVU9Sx8ardETdNLORXxvrbPVTv 8qDytP03TOb8nF36mMOl5hP5rJw76ETI3uR BwNCGTOxAr5 jBBa6cEgi25 1hQlgP3Wld1 1PnmqSMcfIu 1Cb4HarFN2mkT5UVxz7Z2g2 ,Complete Columnar Transposition
CcrMmSGAlOV118atrJwhvDK1SfK7Dfh6flUfluLO9bXkYanOxDf4U8pt1RP853mVWVitdyTslriKuAo1mr4mlsqSCqfFwLxwXPHC1OR1kc81LyjIKnSBwPZRY,ffuppvjdory118dwumzkygn1vin7gik6ioxioxor9eanbdqragi4x8sw1us853pyzylwgbwvoulnxdr1pu4povtvftiizoazaskf1ru1nf81obmlnqvezscub,Compressocrat
7hHQOlEiDLuxKyQL5cuSgOw35akAEvvP5gl6wtkDIlWbCZNDLKSBUzE1pqUxMvERztc74oW757GgABXr9KzLbkGk7t4M9S8Hm8KWiiQvY9dftYXj,luPCqWLmYQ5vW14K8fDOlDM7GW OcvbpozHtLw6LvGki x5tSRAtQ hQAIzcr99u3wKEg7i 7ykDUtXMYKakBzB4v HLElE79SdES5ZU7b8XiggNx5kKj,Complete Columnar Transposition
BfUpjRJ2XxaEkwgEJRzSn6EQy1DTpW6gyiuW7izXu5s0RU3BMzIewFQVLbo4MlXpxxvG0aNMWz6ePoiFmcntBfvyPlBjstyR0Ecq99AlkzRH1gDZfwRUgP3zZZa,eixsmum2aadhnzjhmucvq6htb1gwsz6jblxz7lcax5v0ux3epclhzityoer4poasaayj0dqpzc6hsrlipfqweiybsoemvwbu0hft99doncuk1jgcizuxjs3cccd,Compressocrat
tBqVOhMZZ6CGxXETv2IxhYlBIWy3Rfjav87TLqmG0NU3DBdDsch3FDxd4MRxqBvRsX0bIrlswAbCutOcMhwUcIVzplfIgiUjOFB5rwDSNp60517U0,wetyrkpcc6fjaahwy2lakboelzb3uimdy87wotpj0qx3geggvfk3igag4puateyuva0eluovzdefxwrfpkzxflycsoiljlxmrie5uzgvqs60517x0,Compressocrat
bl8VqUPV4f16B9hYmKqtNGI2YpSZdxKEnW7BrVSXlrGQcMz6lRsraAnbYAQirrDMYOugoobTuoeNsUTM0DLAOMvIyE7Javvuw0CjD2VFnISkRyqzcQ2K9fOFJwfnVHxtsWuCRDb,PmSrzYusvwS9x 4qdSlQoTyCROs l6GErrrTDJ2zwCb1NKlsrb07DqJuVKZV6AgUI0kft V92WQAMoAvFQnDqhY7cnYeOvn2VbUYpBMbONMuIKH 8BInGaDuLaVcfRftxXRioMEjyFW ,Complete Columnar Transposition
6IiyM82hgznnhKsl3kXXVzJAwWnA5MruXxOgQ4R9OWOuGIIzo2zFWDs07Ck73lzsaI1vWDPlR6gyLPAAAmObNoiNNGfMKUA8buNpkKOERf8xbVM4YPyJG3m26kDxU3plE7T6mu,ihJXOWzROKOYDm23nQI71Lib8Gp hkA4zCvPNux3l 8lWgI0Iyo8fJ3 yKAxuDs6bUEPxuzXM927DAGpV27 gX5RokWANNbmE 6nVrOz3PAfkM6TInzuWFllmMK4k6MswOGsagNARyU ,Complete Columnar Transposition
DGPhZM1v366kpDU9eaVcRRA3HE3yeYA9q4TIhTXMPITbCE0UdsZz10UXcxzT7GOPCBYhgj2qW0LWYhUkxAQvj6pYEnqgvPSeD5TFWpWqvsSCvYCSqKrMcWijH,gjskcp1y366nsgx9hdyfuud3kh3bhbd9t4wlkwapslwefh0xgvcc10xafacw7jrsfebkjm2tz0ozbkxnadtym6sbhqtjysvhg5wizsztyvvfybfvtnupfzlmk,Compressocrat
VZSijMs2yqOob2nLtjLaqxUGV3HzEN5kwPjL2GuHxy37FPk3HElE5yaQ8evotnojrMXUYhPmwFDK6O6a1V20YYH5oVmxQczOg8vGerJ9I2VI3fZdCKHppqZ,ML3LPQMKYO2pstH2k8X6HgVpyLEuHvY6ov3ZSbUw35ow2QJCjnVjFarDYzIHVOq5xltP1meZZoxkyEnmVxrd2jzG3eUO58IqqaNHEohaVGf i2GP7yjF0c9K,Complete Columnar Transposition
U16e55iHtdnopLWLEDgI4YduYOemEhCfEmgILnMFtKaLB35hU4CXPmLZONWDaqWAMrFOlvGEGs8Ptq3IpvrRJGtOChW8lFau5GEFkleWBRtg73CvORI0lmXgWo,HghtXWsJutm 1pug3OO3hkv 6LYI5NlIWlO UodmBZFqCFCoeWOLhWvp8eR d4famMPtG7g iDEFCqGRaRl 5EmM4aErFB0 nYELLrtOE3W tICKPA8G5gX 5LenUDGvlWI ,Complete Columnar Transposition
RjukmXzYk2kNQku9HEPMYAXUro7qE721txjtvUw1VuCtBKzWAaW8zd9AwPZiDXrb0TmnQTqs1xbuBYyuJJVmZnNGC2rgepkuUE8ULE88cXQyS96TFprMLydgdOvrIxC7shEi4VeuXUA0j3jLtK,RNXxBAmYCU6O4L2Y1Cd0uNESgE3 kAtt9TBG89dij zEE1WX1mkXL7A XHqwaDsVpcMCU m97UAiqJe8rxX ukrtzPQurEFreKkuovWZTJg8pIu YP7V8rxZuQys0 jQUjKwny2LTvVtkM2uzbbnUydhj ,Complete Columnar Transposition
XXe3YSTVu92x5XCV4nluDoDxvmRTqqMV7bihPABzZFZd1Hd6GxbKBc9G3ZuYIFsKvOeVeKfJXhIkZG22fK7DNPmWeXRB0rDC44VjPvelPKvDHXSV08B4bz,aah3bvwyx92a5afy4qoxgrgaypuwttpy7elksdeccicg1kg6jaenef9j3cxblivnyrhyhnimaklncj22in7gqspzhaue0ugf44ymsyhosnygkavy08e4ec,Compressocrat
DPQmX0K7w54T3KjmXjntlgbIM82cXiIw9eu3u7oQnmtkBro76nXwbi458Ch18ybC3V2VnydCCzmnXyL0hflG6LUHhkWnh8FVMwVuAmnfZGxEqGh8DbayZAz92gwx8t1eB82PtoSfPPZy4Eb8,XXXnb3XhAD8P 7twk5V0nfyey mmcQwCnHu8xf wl9B8nhhZZB4 5gerCyf8GA8E PK87nyzLwGgo KnIt42LWna1Z Qj2oXbmUVhwS D3Mu68C6Mq2t 0jimiVykmbtP 4buohdlFxz2b TI371CGVE9P8 ,Complete Columnar Transposition
WcdMZn3VQsxNA0kAll7H9jVZZQlx47hYkbFntzOx61qNubYbvb4EcV3j6AcIyWMUHkkgaw5ofAeh9EDA25ICi2MZOatEE55qiuQIx9NQTgEFV12KmioGiZ8joQfVgTzs4NgpoqlUQtvT,3jtEk5iKz k7uIeaTjl VVzcgIums WAhbyhtgoUclYYW9EEQQNl16oM9ip M7bvUD5VVvn9n4k2q2T dlkbMEEFftZHFbHA51gT04NcAOQ8q AxqAfZNZo QZOVaCQi4 sZx3wiIoN xQ6j52xGg ,Complete Columnar Transposition
lajOc1YpkzuaKEE2wmO30KzCnDNqIChVrPXG7vv5lqvZ3FXJDQgQ2vWHqeYxBPb9IigoD1hhJTsi3wtCBJ8f93Glz084Gmj1RoXbmUVwHMXjK3HHdZIxIoS8Hk,odmrf1bsncxdnhh2zpr30ncfqgqtlfkyusaj7yy5otyc3iamgtjt2yzkthbaese9lljrg1kkmwvl3zwfem8i93joc084jpm1uraepxyzkpamn3kkgclalrv8kn,Compressocrat
y5HA5EDuiU8taeqTJQtn7UNM9edWAijE0kWZ8pzYkPAzLmp1weo98ri5zhUVL8RjnCjRrWuaOhHtHgXOMEoQCt0hIVNDje4W6Uv4r8cy15qhODBLk4TS3YFWsoHgfUM9,b5kd5hgxlx8wdhtwmtwq7xqp9hgzdlmh0nzc8scbnsdcops1zhr98ul5ckxyo8umqfmuuzxdrkkwkjarphrtfw0klyqgmh4z6xy4u8fb15tkrgeon4wv3bizvrkjixp9,Compressocrat
wfagTZFpLFoLBQrgX0TFJM1KyMH37QycMgL1YP9gKgh9WpxLRT5MA0zTVcwPYC2DK3Hc8z0ZOVXBQ6bnKlbO8vgs6AZbUD25qw0Rww9prCYduDSOqXYknJX3JPuVzW,gXQhT8l2dJwQHgA3bbrJoKYT2B6wY LyP5DQA9k F11RCXswX FFMpwZ8wSVT0y9Vzb5uPLMLLYVgRqWZTcWc0OqDufr3K0HnUCXpJgxPOv0Ozag7gzcKDY3BM9MK6Zpn ,Complete Columnar Transposition
zuNFOlWymq2TFwvZC5xWk9kubhmLt6GSPJsWJIlzNSemffTM64Qz2qjTvIwzi6yg29V044ZsNKfuoC0cpJjQrbFo1Sop4oCPZnjasp9b2NE1CAJJKmAl2HLzOK45yVqTYxZZqBxx577puIwe9Siu30,cxqirozbpt2wizycf5azn9nxekpow6jvsmvzmlocqvhpiiwp64tc2tmwylzcl6bj29y044cvqnixrf0fsmmtueir1vrs4rfscqmdvs9e2qh1fdmmnpdo2kocrn45bytwbaccteaa577sxlzh9vlx30,Compressocrat
0oDrK1dDNCFLBe9kbJCJPd5wE3TjeRwe9UrKq85UbTMFBTW8iznQCtISRtvoKZ4G8AjXIRLu3aNdTWwLhXeNeHAUkUmpMXWl1lbP7FUhvfg8zKS8RyZAySEi2vlgtwlTB4qFflqzmowPOfvCW,rBdwUitjdeXU824w oFJe8WS8aep7KETm DLPR58RANNMFSiBo 19w9TnoIWAlvylFO dkEUMQKRwU1fZgff Db3rFCZLLklgAtlv 0CCjqTIG3XmPzSlzWKe5ebzvXTHWhRvqP NJTKBt4uhUb8ywqC ,Complete Columnar Transposition
a9HaauytbZ5KKx2e9lmONFlInwg3R6jMxKl5CT24XlGj00CbNc7I49Y8hZ7t7sgwRlLHk5gFmMjN6v8D7QJ1yYC8hQJevpxjp90FmYzcwd66EZ16QTW1Lg2H,d9kddxbwec5nna2h9oprqiolqzj3u6mpano5fw24aojm00feqf7l49b8kc7w7vjzuookn5jippmq6y8g7tm1bbf8ktmhysams90ipbcfzg66hc16twz1oj2k,Compressocrat
s8OBzByfFbFguJENytFYXsXRSdH1cm8ft5LV5KIlPuVdIbd9tymw9Id00R3BVGH2lGxRSc6ngD8l5oTueTnFnKONac7yn5Sh7sa5pQ061vly0ox61zcjjMpNQq,v8recebiieijxmhqbwibavauvgk1fp8iw5oy5nlosxygleg9wbpz9lg00u3eyjk2ojauvf6qjg8o5rwxhwqiqnrqdf7bq5vk7vd5st061yob0ra61cfmmpsqtt,Compressocrat
0XFqMaOSzcSXCiQSoeOhhk5YFelIuk8Vq9RT7SzsIss2KqgWhz044m8fJ2FmiHcEEghoc1ylfWSZepBNxCVjCMXcQ7GXmXnUucKa8jv38q6lwDm5Pdzyj8sGeo,MQFRK8ESCn8z zOuzhFcBQKws FC5qs4cfVmvP XXkVs4HlCXj5oOol7gJheXu6j chkszm1N7aDG 0Sh8I0iyxG8meSeISW2opccl8 aSeTqfgZMUqy qiY92mEWjX3d ,Complete Columnar Transposition
J9udhReAHIbNUkU7uxcj5gRoayaKd0yXKh2oWOcKIebP06E7KPysRNyC6VpRFNqwODE65jDI4xojsOUl99yq4kxVbBZtjcDAT4I2ozi1Own8zA4ADUCC8yD,m9xgkuhdkleqxnx7xafm5jurdbdng0bank2rzrfnlhes06h7nsbvuqbf6ysuiqtzrgh65mgl4armvrxo99bt4nayeecwmfgdw4l2rcl1rzq8cd4dgxff8bg,Compressocrat
3WYAxPtnzjEgIPCt519X3NAdmnvJ4kQy7HBl8CbSnyKQlrVRKXjPzKYZmjAuDp3ViW7FuN7WNHVO4cRgYefba633dv2fu75wmVj9nt1exN6uL51CEvTlstgZJk54jkAhI6NAkJJOESrS25phQ,YIA7Kz3Nfu1E5kpjXkSXuNgv95Z6S t5v8Vm743m6sAE xCmBlYiVa5xTjJQPtnlrZWO6wNlkO APdHQKVHb7ev4Jhz94bKAuRdjLgIr 3E3QnjD7Y2n1JN2WgNyyPpWeftCkA5n1JCRjFc3VuthS ,Complete Columnar Transposition
S0x7CLKlC5bF8QKw4vf4xeliNtRz6jh7Y9Qm9OusTY8YfwMZFbN5LAkx2qmGrH56bFu5kdPpStqCBvcrVWQDQfvJci37NaVKbtym5EyycSRrSyvxZG2YBATvi8wUqJmFsrf6C6QfZQ6u3G5hbZi,CvRmfA5pViyrBJQh CQl7Tbm5BfVyZ8fu LKiYYNGkvvKcGw63 KwN985rdcJbS2UCG S5fz9wk6SW3mSAmfbxFxjuZ2FqDNEvvsQil4tQYLHPrctRYq65 0b46OMxbtQ75yTFZZ78ehsFquCQayxir6 ,Complete Columnar Transposition
aUaVZv36NejLO93DO3vYQgNhdTim6V7flfT8faBYRondTfyuOHmE0mTFMTlEsURL33dClGaflmqj4IKmShSWeml2uWokzO1LsMAGOsnBq0wVpHaP49,v3Vom3IWs96YfdFCmkB Lh8uEfWLV 3v7nTdKon NQlTMlSzq jNTylaS1w VDmYELj2GPegffTGhO0 aOdfOslespU9TaHUmmMHa3iBmRqlAaZO6R034uO4,Complete Columnar Transposition
uLX66xSRMR9eKqU1uCwVZExFtWFuIVmoLkcSwAD4Du7Y28zD35DCjjVWyA8b3iYuy3OjzxaBY0Q5ljL8lngbzEjrvmbFzkt192JromFMUFBB82kFQdw,xoa66avupu9hntx1xfzychaiwzixlypronfvzdg4gx7b28cg35gfmmyzbd8e3lbxb3rmcadeb0t5omo8oqjechmuypeicnw192murpipxiee82nitgz,Compressocrat
AFa9tOkvOtRNBNhMiHsvUxZS3ixKEebCxApn8uSo635uO65EYrJvKYvSm5i9uYOK6oTLNp00pFKE4buG4gyWjNufHFDM5589UreCyXmYXrTjx2XdEpoOauw0NEJ,9NSAuYKFW5Yp ARUb6Ju04DyXNkix85mT4uUTa FNxC3vY0gMXdEOsESYiNuHexw tveor9pGFC20 aBZx5KOpy5mEJvHKuE5Lbfrju OMin6SoEN9rO th3pOv6Kj8Xo ,Complete Columnar Transposition
UdV4mHZGspYyBS02atqnjsbbPPWAfxDX6jCOyJkMCWug7rDrmTMDskLiu9bhd3uJExju1UyJbOBPuzluN1WcPsuKWKc4GdUTTiFe7eijgHk8TpfWxwvfAvWeFzIdHAPY,pbJDxud8z Hnjr3PKjv ZjCmuucgW mq6DdBWiA YPksjNUTI SAWiUciWA U0fuuyPFxPBWCL1WTfH GsOTJz4He 4tXrhOKef d2xg9JsewYsbyMElGkF VaD7bbu7v yPMku1Tpd ,Complete Columnar Transposition
